X:/My Documents/Wegennetwerk/Prog/roadInput.txt X:/My Documents/Wegennetwerk/Prog/maintenanceInput.txt
Routes for this network:
0 1 2 3 
0 1 3 
0 2 1 3 
0 2 3 

1 0 2 3 
1 2 3 
1 3 

2 0 1 3 
2 1 3 
2 3 

1 0 2 
1 2 
1 3 2 

1250530 4915.9
ArcFlowsAll_t,v,w
0 1.13573 8.86427 0 
0 0 6.4755 8.96244 
0 2.3022 0 10.5621 
0 0 0.524504 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 0.227146 22.4604 0 
12.6876 0 0 0 
0 0.460441 0 19.1049 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.66795 19.1049 
0 5.77285 0 0 
0 0 0.104901 0 

0 10 0 0 
0 0 8.73043 16.93 
0 3.66044 0 2.17653 
0 0 0.106545 0 

0 10 0 0 
0 0 8.75444 16.906 
0 3.66044 0 2.20212 
0 0 0.108122 0 

0 10 0 0 
0 0 8.77817 16.8823 
0 3.66044 0 2.22741 
0 0 0.109673 0 

0 10 0 0 
0 0 8.80165 16.8588 
0 3.66044 0 2.2524 
0 0 0.111197 0 

0 10 0 0 
0 0 8.82486 16.8356 
0 3.66044 0 2.27712 
0 0 0.112696 0 

0 10 0 0 
0 0 8.84782 16.8126 
0 3.66044 0 2.30155 
0 0 0.114168 0 

0 10 0 0 
0 0 8.87053 16.7899 
0 3.66044 0 2.3257 
0 0 0.115615 0 

0 10 0 0 
0 0 8.89299 16.7674 
0 3.66044 0 2.34959 
0 0 0.117036 0 

0 10 0 0 
0 0 8.91522 16.7452 
0 3.66044 0 2.37321 
0 0 0.118431 0 

0 10 0 0 
0 0 8.9372 16.7232 
0 3.66044 0 2.39656 
0 0 0.119801 0 

0 0 10 0 
0 0 6.87886 9.00873 
0 3.88759 0 10.1124 
0 0 0.121145 0 

0 0 10 0 
0 0 6.87585 9.01056 
0 3.88641 0 10.1136 
0 0 0.124153 0 

0 0 10 0 
